Month,quinoa
2006-01,7
2006-02,6
2006-03,8
2006-04,6
2006-05,8
2006-06,8
2006-07,8
2006-08,7
2006-09,7
2006-10,7
2006-11,6
2006-12,6
2007-01,8
2007-02,8
2007-03,10
2007-04,11
2007-05,12
2007-06,10
2007-07,10
2007-08,10
2007-09,10
2007-10,11
2007-11,10
2007-12,8
2008-01,14
2008-02,19
2008-03,16
2008-04,17
2008-05,15
2008-06,16
2008-07,15
2008-08,13
2008-09,15
2008-10,13
2008-11,15
2008-12,11
2009-01,20
2009-02,19
2009-03,18
2009-04,19
2009-05,18
2009-06,22
2009-07,22
2009-08,24
2009-09,20
2009-10,17
2009-11,18
2009-12,15
2010-01,31
2010-02,28
2010-03,30
2010-04,30
2010-05,31
2010-06,30
2010-07,28
2010-08,30
2010-09,27
2010-10,26
2010-11,23
2010-12,22
2011-01,46
2011-02,40
2011-03,43
2011-04,45
2011-05,43
2011-06,41
2011-07,41
2011-08,41
2011-09,40
2011-10,38
2011-11,37
2011-12,33
2012-01,59
2012-02,54
2012-03,59
2012-04,61
2012-05,58
2012-06,63
2012-07,67
2012-08,63
2012-09,63
2012-10,54
2012-11,48
2012-12,43
2013-01,82
2013-02,70
2013-03,79
2013-04,76
2013-05,78
2013-06,81
2013-07,83
2013-08,81
2013-09,85
2013-10,74
2013-11,63
2013-12,52
2014-01,100
2014-02,81
2014-03,83
2014-04,81
2014-05,73
2014-06,75
2014-07,76
2014-08,69
2014-09,66
2014-10,59
2014-11,55
2014-12,46
2015-01,91
2015-02,71
2015-03,71
2015-04,68
2015-05,63
2015-06,68
2015-07,70
2015-08,67
2015-09,60
2015-10,54
2015-11,52
2015-12,44
2016-01,79
2016-02,65
2016-03,62
2016-04,66
2016-05,63
2016-06,61
2016-07,59
2016-08,56
2016-09,54
2016-10,47
2016-11,43
2016-12,39
2017-01,69
2017-02,61
2017-03,63
2017-04,61
2017-05,59
2017-06,59
2017-07,66
2017-08,62
2017-09,56
2017-10,53
2017-11,48
2017-12,43
2018-01,75
2018-02,66
2018-03,63
2018-04,64
2018-05,58
2018-06,59
2018-07,60
2018-08,57
2018-09,52
2018-10,47
2018-11,41
2018-12,39
2019-01,67
2019-02,55
2019-03,55
2019-04,54
2019-05,50
2019-06,53
