Month,spinach
2006-01,37
2006-02,34
2006-03,31
2006-04,32
2006-05,32
2006-06,28
2006-07,31
2006-08,26
2006-09,100
2006-10,36
2006-11,37
2006-12,49
2007-01,33
2007-02,36
2007-03,30
2007-04,32
2007-05,29
2007-06,29
2007-07,30
2007-08,29
2007-09,31
2007-10,29
2007-11,42
2007-12,52
2008-01,36
2008-02,37
2008-03,38
2008-04,33
2008-05,33
2008-06,33
2008-07,32
2008-08,30
2008-09,30
2008-10,33
2008-11,47
2008-12,57
2009-01,44
2009-02,42
2009-03,39
2009-04,41
2009-05,39
2009-06,39
2009-07,34
2009-08,35
2009-09,35
2009-10,39
2009-11,49
2009-12,60
2010-01,48
2010-02,47
2010-03,43
2010-04,44
2010-05,43
2010-06,42
2010-07,36
2010-08,36
2010-09,38
2010-10,40
2010-11,49
2010-12,60
2011-01,60
2011-02,60
2011-03,54
2011-04,56
2011-05,51
2011-06,50
2011-07,46
2011-08,45
2011-09,46
2011-10,51
2011-11,62
2011-12,74
2012-01,65
2012-02,66
2012-03,62
2012-04,62
2012-05,58
2012-06,57
2012-07,53
2012-08,50
2012-09,55
2012-10,53
2012-11,65
2012-12,80
2013-01,72
2013-02,78
2013-03,73
2013-04,65
2013-05,64
2013-06,65
2013-07,60
2013-08,55
2013-09,57
2013-10,59
2013-11,75
2013-12,78
2014-01,80
2014-02,76
2014-03,69
2014-04,70
2014-05,61
2014-06,63
2014-07,56
2014-08,54
2014-09,56
2014-10,56
2014-11,69
2014-12,76
2015-01,77
2015-02,66
2015-03,64
2015-04,61
2015-05,59
2015-06,57
2015-07,53
2015-08,53
2015-09,52
2015-10,57
2015-11,72
2015-12,79
2016-01,77
2016-02,77
2016-03,70
2016-04,66
2016-05,61
2016-06,58
2016-07,55
2016-08,52
2016-09,55
2016-10,57
2016-11,64
2016-12,79
2017-01,74
2017-02,70
2017-03,67
2017-04,66
2017-05,61
2017-06,59
2017-07,59
2017-08,57
2017-09,54
2017-10,57
2017-11,70
2017-12,87
2018-01,77
2018-02,75
2018-03,69
2018-04,69
2018-05,64
2018-06,63
2018-07,61
2018-08,58
2018-09,59
2018-10,59
2018-11,70
2018-12,86
2019-01,80
2019-02,74
2019-03,67
2019-04,65
2019-05,58
2019-06,59
