Month,vanilla
2006-01,37
2006-02,32
2006-03,31
2006-04,33
2006-05,34
2006-06,34
2006-07,38
2006-08,31
2006-09,30
2006-10,32
2006-11,37
2006-12,38
2007-01,38
2007-02,36
2007-03,36
2007-04,33
2007-05,34
2007-06,35
2007-07,35
2007-08,36
2007-09,32
2007-10,33
2007-11,37
2007-12,42
2008-01,36
2008-02,35
2008-03,36
2008-04,36
2008-05,37
2008-06,35
2008-07,39
2008-08,35
2008-09,33
2008-10,32
2008-11,38
2008-12,41
2009-01,40
2009-02,38
2009-03,39
2009-04,36
2009-05,39
2009-06,39
2009-07,43
2009-08,42
2009-09,39
2009-10,45
2009-11,52
2009-12,57
2010-01,49
2010-02,50
2010-03,49
2010-04,48
2010-05,47
2010-06,48
2010-07,50
2010-08,47
2010-09,42
2010-10,49
2010-11,50
2010-12,56
2011-01,61
2011-02,54
2011-03,50
2011-04,54
2011-05,54
2011-06,58
2011-07,62
2011-08,54
2011-09,51
2011-10,53
2011-11,59
2011-12,69
2012-01,64
2012-02,62
2012-03,57
2012-04,60
2012-05,62
2012-06,74
2012-07,69
2012-08,64
2012-09,64
2012-10,62
2012-11,67
2012-12,79
2013-01,75
2013-02,73
2013-03,73
2013-04,65
2013-05,69
2013-06,73
2013-07,77
2013-08,72
2013-09,66
2013-10,71
2013-11,80
2013-12,89
2014-01,84
2014-02,79
2014-03,76
2014-04,75
2014-05,74
2014-06,76
2014-07,83
2014-08,77
2014-09,66
2014-10,68
2014-11,73
2014-12,84
2015-01,80
2015-02,81
2015-03,72
2015-04,73
2015-05,74
2015-06,77
2015-07,80
2015-08,75
2015-09,66
2015-10,69
2015-11,76
2015-12,86
2016-01,84
2016-02,78
2016-03,76
2016-04,77
2016-05,81
2016-06,84
2016-07,82
2016-08,70
2016-09,79
2016-10,74
2016-11,72
2016-12,92
2017-01,91
2017-02,82
2017-03,81
2017-04,81
2017-05,80
2017-06,81
2017-07,91
2017-08,80
2017-09,74
2017-10,75
2017-11,88
2017-12,100
2018-01,87
2018-02,81
2018-03,80
2018-04,79
2018-05,80
2018-06,85
2018-07,94
2018-08,86
2018-09,78
2018-10,75
2018-11,85
2018-12,99
2019-01,90
2019-02,86
2019-03,86
2019-04,85
2019-05,90
2019-06,98
